"---dsl_flexprod","S_FP_DSL_KVZTHS",4,"$SSH_P/IN/vdflexpr/FLEXPROD","$INPUT/dsl_flexprod/$batch_id","kvzthsstandort.csv.gz","J","N","J ","N","N","gzip -dc $DATEI",,"N","",,,,,,"            ","GA ",,
"ab_hmreo","S_HTML_MAIL_REO_RM",1,"/svfs/ssh_portal/IN/vd_hmreo/INPUT","$INPUT/ab_hmreo/$batch_id","I_HTML_MAIL_REO_M*.zip","J","N","U ","J","N","gzip -dc $DATEI","","N","w_OETC985_AB_MAIL_REO;ja19_ab_hmreo.ksh","","","","N","N","            ","jq ",,
"ab_hmreo_sto","S_HTML_MAIL_REO_STORNO",1,"/svfs/ssh_portal/IN/vd_hmreo/INPUT","$INPUT/ab_hmreo_sto/$batch_id","I_HTML_MAIL_REO_STO*.DAT","I","N","t ","N","N","","","N","w_OETC986_AB_MAIL_REO_STORNO;ja20_ab_hmreo_storno.ksh","","","","N","N","            ","jq ",,
"acci_vpnr_in_w","S_ACCI_VPNR",1,"$SSH_P/IN/vd_acci/ACCI_VPNR","$INPUT/acci_vpnr_in_w/$batch_id","VPNR_ACCI*.csv.gz","I","N","m ","N","N","gzip -dc $DATEI",,"N","jc78_acci_vpnr_in.ksh",,,,,,"            ","nie",,
"acl_kr_cba","S_ACL_KR_CBA_ABDECKUNG_REF",1,"$SSH_P/IO/vd_acl/CBA","$INPUT/acl_kr_cba/$batch_id","kgs44_????_CBA_3G_LTE_SO_???????.csv.gz","J","N","J ","N","N","gzip -dc $DATEI","","N","ji37_kund_kr_cba_abdeckung_ref_m.ksh","kgs44_????_CBA_3G_LTE_SO_???????.chk","cut -d\| -f2","cut -d\| -f3","J","N","            ","RG ",,
"acl_mam_pepps","S_ACL_MAM_PEPPS_REF_GRUNDATTRIBUTE",1,"/svfs/ssh_portal/IO/vd_acl/MAM_PEPPS_GRUNDATTRIB","$INPUT/acl_mam_pepps/$batch_id","PEPPS_ATTRIBUT_????????.csv.gz","N","N","J ","N","N","gzip -dc $DATEI",,"N",,"PEPPS_ATTRIBUT_????????.chk","cut -d\| -f2","cut -d\| -f3","J","N","            ","RC ",,
"acl_mam_pepps","S_ACL_MAM_PEPPS_REF_HPS_ERGAENZUNG",2,"/svfs/ssh_portal/IO/vd_acl/MAM_PEPPS_GRUNDATTRIB","$INPUT/acl_mam_pepps/$batch_id","PEPPS_HPS_ERG_????????.csv.gz","N","N","J ","N","N","gzip -dc $DATEI",,"N",,"PEPPS_HPS_ERG_????????.chk","cut -d\| -f2","cut -d\| -f3","J","N","            ","RC ",,
"acl_mam_pepps","S_ACL_MAM_PEPPS_REF_VERSION",3,"/svfs/ssh_portal/IO/vd_acl/MAM_PEPPS_GRUNDATTRIB","$INPUT/acl_mam_pepps/$batch_id","PEPPS_VERSION_????????.csv.gz","N","N","J ","N","N","gzip -dc $DATEI",,"N","jk95_ansl_mam_pepps_ref_grundattrib.ksh","PEPPS_VERSION_????????.chk","cut -d\| -f2","cut -d\| -f3","J","N","            ","RC ",,
"acl_ref_izm","S_ACL_IAR_REF_IZM_EF_FILTER",1,"$SSH_P/IO/vd_acl/HARMONISIERTE_PRODUKTSICHT","$INPUT/acl_ref_izm/$batch_id","PROD_IAR_REF_EF_IZM_????????.csv.gz","I"," ","J ","N","N","gzip -dc $DATEI","cut -c21-28"," ","","PROD_IAR_REF_EF_IZM_????????.chk","cut -d\| -f2","cut -d\| -f3","J","J","            ","JS ",,
"acl_ref_izm","S_ACL_IAR_REF_IZM_GF_FILTER",2,"$SSH_P/IO/vd_acl/HARMONISIERTE_PRODUKTSICHT","$INPUT/acl_ref_izm/$batch_id","PROD_IAR_REF_GFF_IZM_????????.csv.gz","I"," ","J ","N","N","gzip -dc $DATEI","cut -c22-29"," ","jl35_iar_ref_izm_filter.ksh","PROD_IAR_REF_GFF_IZM_????????.chk","cut -d\| -f2","cut -d\| -f3","J","J","            ","JS ",,
